内部キー(主),内部キー(副),表示名(日),表示名(英),分割OFFのとき,分割ONのとき,主な情報ソース,備考
series,original_title,シリーズ名,Series name,singular,singular,series_statement,
series,title_transcription,シリーズ名（ヨミ）,Series name(transcription),singular,singular,series_statement,
series,periodical,定期刊行物,Periodical,singular,singular,series_statement,
series,issn,ISSN,ISSN,singular,singular,series_statement,
series,jpno,JPNO,JPNO,singular,singular,series_statement,
series,series_statement_identifier,シリーズ識別子,Series statement identifier,singular,singular,series_statement,
series,sequence_pattern,刊行パターン,Sequence Pattern,singular,singular,series_statement,
series,publication_status,出版状況,Publication status,singular,singular,series_statement,
series,note,雑誌注記,Series note,singular,singular,series_statement,
article,title,,,singular,singular,manifestation,
article,number_of_page,ページ,Pages,singular,singular,manifestation,
article,access_address,URL,URL,singular,singular,manifestation,
article,creator,著者,Creator,singular,singular,manifestation,
article,subject,件名,Subject,singular,singular,manifestation,
book article,original_title,,,singular,singular,manifestation,
book,title_transcription,,,singular,singular,manifestation,
book,title_alternative,,,singular,singular,manifestation,
book,identifier,,,singular,singular,manifestation,
book,other_identifier,その他の識別子,Other identifier,plural,plural,manifestation,
book,other_identifier_type,その他の識別子タイプ,Other identifier type,plural,plural,manifestation,
book,isbn,ISBN,ISBN,singular,singular,manifestation,
book,wrong_isbn,間違ったISBN,Wrong ISBN,singular,singular,manifestation,
book,nbn,NBN,NBN,singular,singular,manifestation,
book,lccn,LCCN,LCCN,singular,singular,manifestation,
book,marc_number,MARC番号,MARC number,singular,singular,manifestation,
book,ndc,NDC,NDC,singular,singular,manifestation,
book,start_page,最初のページ,Start page,singular,singular,manifestation,
book,end_page,最後のページ,End page,singular,singular,manifestation,
book,height,高さ(cm),Height(cm),singular,singular,manifestation,
book,width,幅(cm),Width(cm),singular,singular,manifestation,
book,depth,奥行き(cm),Depth(cm),singular,singular,manifestation,
book,size,サイズ,Size,singular,singular,manifestation,
book,note,注記,Note,singular,singular,manifestation,
book,missing_issue,欠号管理,Missing issue,singular,singular,manifestation,
book,acceptance_number,受入部数,Accept number,singular,singular,manifestation,
book,theme,テーマ,Theme,plural,plural,manifestation,
book,theme_publish,テーマ公開範囲,Theme publish,plural,plural,manifestation,
book,classification,分類記号,Classification,singular,plural,manifestation,
book,classification_type,分類種類,Classification type,none,plural,manifestation,
book root,nacsis_identifier,NCID,NCID,singular,singular,manifestation,マッピング表にない
book,frequency,発行頻度,Frequency,singular,singular,manifestation,マッピング表にない
book,dis_date,出版停止日,,singular,singular,manifestation,マッピング表にない
book root,other_title,その他のタイトル,Other title,plural,plural,manifestation,
book root,other_title_transcription,その他のタイトル（ヨミ）,Other title(transcription),plural,plural,manifestation,
book root,other_title_alternative,その他のタイトル（代替）,Other title(alternative),plural,plural,manifestation,
book root,other_title_type,その他のタイトルタイプ,Other title type,plural,plural,manifestation,
book root,carrier_type,,,singular,singular,manifestation,
book root,sub_carrier_type,,,singular,singular,manifestation,要確認
book root,manifestation_type,,,singular,singular,manifestation,
book root,jpn_or_foreign,,,singular,singular,manifestation,
book root,country_of_publication,出版国,Country of publication,singular,singular,manifestation,
